Points_0,Points_1,Points_2,h
1.858500061e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.860000000e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.861499939e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.863000031e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.864499969e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.866000061e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.867500000e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.868999939e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.870500031e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.871999969e+02,2.400000000e+02,0.000000000e+00,2.511024348e-04
1.873500061e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.875000000e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.876499939e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.878000031e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.879499969e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.881000061e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.882500000e+02,2.400000000e+02,0.000000000e+00,2.826144415e-04
1.883999939e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.885500031e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.886999969e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.888500061e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.890000000e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.891499939e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.893000031e+02,2.400000000e+02,0.000000000e+00,6.885474846e-04
1.894499969e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.896000061e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.897500000e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.898999939e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.900500031e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.901999969e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.903500061e+02,2.400000000e+02,0.000000000e+00,1.130644369e-03
1.905000000e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.906499939e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.908000031e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.909499969e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.911000061e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.912500000e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.913999939e+02,2.400000000e+02,0.000000000e+00,1.808815671e-03
1.915500031e+02,2.400000000e+02,0.000000000e+00,3.092071967e-03
1.916999969e+02,2.400000000e+02,0.000000000e+00,3.092071967e-03
1.918500061e+02,2.400000000e+02,0.000000000e+00,3.092071967e-03
